time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.618,0.0001667443603789916,7.503496217054623e-05,0.6775429470674241,0,0.00022953222256040512,7.483496217054622e-05,0.0001657443603789916,0.0
46.619,1e-06,4.5e-07,0.6776533885735032,0,0.00022960705752257568,2.5e-07,0.0,0.0
46.62,1e-06,4.5e-07,0.6776537574935679,0,0.00022960730752257568,2.5e-07,0.0,0.0
46.621,1e-06,4.5e-07,0.6776541264134317,0,0.00022960755752257569,2.5e-07,0.0,0.0
46.622,1e-06,4.5e-07,0.6776544953330947,0,0.0002296078075225757,2.5e-07,0.0,0.0
46.623,1e-06,4.5e-07,0.6776548642525569,0,0.0002296080575225757,2.5e-07,0.0,0.0
46.624,1e-06,4.5e-07,0.6776552331718183,0,0.0002296083075225757,2.5e-07,0.0,0.0
46.625,1e-06,4.5e-07,0.6776556020908787,0,0.0002296085575225757,2.5e-07,0.0,0.0
46.626,1e-06,4.5e-07,0.6776559710097384,0,0.0002296088075225757,2.5e-07,0.0,0.0
46.627,1e-06,4.5e-07,0.6776563399283972,0,0.0002296090575225757,2.5e-07,0.0,0.0
46.628,0.00012039183205184116,5.4176324423328524e-05,0.6776567088468551,0,0.0002296093075225757,5.3976324423328526e-05,0.00011939183205184116,0.0
46.629,1e-06,4.5e-07,0.6777363555941189,0,0.00022966328384699903,2.5e-07,0.0,0.0
46.63,1e-06,4.5e-07,0.6777367244690212,0,0.00022966353384699904,2.5e-07,0.0,0.0
46.631,1e-06,4.5e-07,0.6777370933437228,0,0.00022966378384699904,2.5e-07,0.0,0.0
46.632,1e-06,4.5e-07,0.6777374622182236,0,0.00022966403384699904,2.5e-07,0.0,0.0
46.633,1e-06,4.5e-07,0.6777378310925236,0,0.00022966428384699905,2.5e-07,0.0,0.0
46.634,1e-06,4.5e-07,0.6777381999666229,0,0.00022966453384699905,2.5e-07,0.0,0.0
46.635,1e-06,4.5e-07,0.6777385688405213,0,0.00022966478384699906,2.5e-07,0.0,0.0
46.636,1e-06,4.5e-07,0.677738937714219,0,0.00022966503384699906,2.5e-07,0.0,0.0
46.637,1e-06,4.5e-07,0.677739306587716,0,0.00022966528384699906,2.5e-07,0.0,0.0
46.638,1e-06,4.5e-07,0.6777396754610122,0,0.00022966553384699907,2.5e-07,0.0,0.0
46.639,1e-06,4.5e-07,0.6777400443341076,0,0.00022966578384699907,2.5e-07,0.0,0.0
46.64,1e-06,4.5e-07,0.6777404132070023,0,0.00022966603384699908,2.5e-07,0.0,0.0
46.641,1e-06,4.5e-07,0.6777407820796961,0,0.00022966628384699908,2.5e-07,0.0,0.0
46.642,0.00012441225855310928,5.598551634889918e-05,0.6777411509521892,0,0.00022966653384699908,5.578551634889918e-05,0.00012341225855310928,0.0
46.643,1e-06,4.5e-07,0.6778234569020875,0,0.000229722319363348,2.5e-07,0.0,0.0
46.644,1e-06,4.5e-07,0.6778238257295888,0,0.000229722569363348,2.5e-07,0.0,0.0
